Serial,Names,Short Names,Price,24h Change,Volume
43,The Graph,GRT,$0.09272,+3.22%,$33.83 M
44,Aave,AAVE,$57.23,+5.88%,$70.18 M
45,Kaspa,KAS,$0.04088,-0.05%,$21.75 M
46,Frax,FRAX,$0.9987,+0.08%,$6.98 M
47,WhiteBIT Token,WBT,$5.42,+1.16%,$11.96 M
48,Algorand,ALGO,$0.09908,+4.02%,$27.6 M
49,XDC Network,XDC,$0.05423,+0.30%,$12.54 M
50,USDD,USDD,$1.00,-0.16%,$23.4 M
51,Axie Infinity,AXS,$5.00,+3.92%,$20.7 M
52,MultiversX,EGLD,$26.57,+2.87%,$26.23 M
53,Stacks,STX,$0.4884,+5.85%,$15.75 M
54,The Sandbox,SAND,$0.3316,+4.27%,$59.56 M
55,Tezos,XTZ,$0.7117,+4.53%,$14.93 M
56,EOS,EOS,$0.5948,+4.76%,$104.31 M
57,Immutable X,IMX,$0.5739,-0.83%,$23.33 M
58,Injective,INJ,$7.73,+6.87%,$37.58 M
59,Theta Network,THETA,$0.6425,+5.31%,$8.16 M
60,TNC Coin,TNC,$0.1057,-2.50%,"$55,296"
61,Bitcoin SV,BSV,$31.15,+3.00%,$20.52 M
62,Bitget Token,BGB,$0.4216,-0.15%,$8.48 M
63,Decentraland,MANA,$0.3119,+5.11%,$54.03 M
64,Synthetix,SNX,$2.21,+7.51%,$28.15 M
65,Fantom,FTM,$0.2083,+4.60%,$46.36 M
66,ApeCoin,APE,$1.53,+3.47%,$57.56 M
67,Radix,XRD,$0.05527,+1.08%,$1.68 M
68,THORChain,RUNE,$1.65,+1.60%,$97.81 M
69,Render Token,$rndr,$1.43,+4.05%,$21.58 M
70,FLEX,FLEX,$5.44,+1.68%,"$333,028"
71,Neo,NEO,$7.30,+5.63%,$27.95 M
72,Pax Dollar,USDP,$0.9993,-0.00%,$2.29 M
73,Kava,KAVA,$0.7023,+4.81%,$12.94 M
74,Rollbit Coin,RLB,$0.1536,+5.49%,$10.25 M
75,Rocket Pool,RPL,$24.82,+4.17%,$3.72 M
76,Flow,FLOW,$0.4687,+4.83%,$27.38 M
77,PAX Gold,PAXG,"$1,910.25",+1.44%,$6.64 M
78,eCash,XEC,$0.00002449,+4.54%,$5.78 M
79,Tether Gold,XAUT,"$1,921.27",+1.24%,$1.26 M
80,KuCoin Token,KCS,$4.83,+0.34%,$1.29 M
81,Gala,GALA,$0.01998,+5.20%,$52.81 M
82,Chiliz,CHZ,$0.06439,+3.57%,$28.21 M
83,Sui,SUI,$0.6179,+15.30%,$313.56 M
84,Klaytn,KLAY,$0.1396,+2.25%,$7.73 M
85,Pepe,PEPE,$0.000001123,+6.86%,$88.2 M
86,Frax Share,FXS,$5.96,+2.61%,$29.29 M
87,BitTorrent (Old),BTTOLD,$0.0004224,+3.50%,$232
88,Casper,CSPR,$0.03685,+5.26%,$3.8 M
89,Conflux,CFX,$0.1304,+4.55%,$26.83 M
90,Zcash,ZEC,$25.49,+2.75%,$49.54 M
91,Curve DAO Token,CRV,$0.4776,+4.99%,$57.58 M
92,IOTA,MIOTA,$0.148,+4.34%,$4.87 M
93,BitTorrent,BTT,$0.0000004228,+2.40%,$23.5 M
94,Tokenize Xchange,TKX,$4.96,+2.98%,N/A
95,Mina,MINA,$0.4078,+4.05%,$6.58 M
96,Huobi Token,HT,$2.41,+1.40%,$13.65 M
97,Luna Classic,LUNC,$0.00006512,+2.60%,$17.73 M
98,GateToken,GT,$3.90,+0.52%,$1.03 M
99,FTX Token,FTT,$1.10,+2.51%,$12.06 M
100,Trust Wallet Token,TWT,$0.8702,+3.68%,$7.7 M
101,Gemini Dollar,GUSD,$1.00,+0.49%,"$512,461"
102,AirCoin,AIR,$0.00000003431,+1.12%,$47
103,Compound,COMP,$43.25,+3.23%,$42.96 M
104,Nexo,NEXO,$0.5992,+4.19%,$3.08 M
105,GMX,GMX,$37.37,+4.89%,$13.32 M
106,dYdX,DYDX,$2.13,+11.51%,$64.1 M
107,WOO Network,WOO,$0.1853,+10.48%,$13.59 M
108,Astar,ASTR,$0.06778,+13.93%,$36.25 M
109,Akash Network,AKT,$1.48,+0.25%,$4.9 M
110,APENFT,NFT,$0.000000324,+3.07%,$21.05 M
111,First Digital USD,FDUSD,$0.9998,-0.02%,$23.94 M
112,Dash,DASH,$26.70,+1.90%,$47.08 M
113,FLARE,FLR,$0.01334,+3.88%,$3 M
114,USDJ,USDJ,$1.11,+0.19%,$1.22 M
115,Arweave,AR,$4.47,+4.45%,$24 M
116,Liquity USD,LUSD,$0.9981,-0.12%,$2.05 M
117,SafePal,SFP,$0.5764,+17.38%,$45.66 M
118,MX TOKEN,MX,$2.80,+3.11%,$5.59 M
119,Bone ShibaSwap,BONE,$1.22,+1.29%,$8.68 M
120,Sei,SEI,$0.1554,+5.97%,$123.77 M
121,PancakeSwap,CAKE,$1.28,+3.36%,$20.82 M
122,Zilliqa,ZIL,$0.01711,+4.20%,$10.28 M
123,Gnosis,GNO,$101.45,+2.19%,$12.48 M
124,1inch Network,1INCH,$0.2527,+5.01%,$18.18 M
125,Basic Attention Token,BAT,$0.1756,+2.96%,$14.53 M
126,Chia,XCH,$31.00,+3.23%,$3.67 M
127,Loopring,LRC,$0.1863,+3.02%,$10.08 M
128,Enjin Coin,ENJ,$0.2456,+5.04%,$11.72 M
129,Bitcoin Gold,BTG,$13.91,+1.98%,$2.61 M
130,Ethereum Name Service,ENS,$8.18,+3.32%,$8.25 M
131,Oasis Network,ROSE,$0.04132,+5.37%,$11.61 M
132,Qtum,QTUM,$2.25,+3.33%,$26.26 M
133,Helium,HNT,$1.64,-3.02%,$1.66 M
134,ECOMI,OMI,$0.0008616,+5.03%,"$771,960"
135,NEM,XEM,$0.02543,+4.50%,$3.66 M
136,Convex Finance,CVX,$2.87,+2.37%,$6.64 M
137,Mask Network,MASK,$2.76,+3.56%,$44.36 M
138,Aleph Zero,AZERO,$0.8406,+0.53%,"$989,582"
139,SingularityNET,AGIX,$0.1792,+3.59%,$22.55 M
140,DeFiChain,DFI,$0.2977,+19.59%,$23.53 M
141,Celo,CELO,$0.4298,+2.95%,$9.09 M
142,Theta Fuel,TFUEL,$0.03392,+2.16%,$1.79 M
143,Edgecoin,EDGT,$0.9996,-0.02%,"$472,892"
144,Beldex,BDX,$0.03748,+2.04%,$3.6 M
145,Ravencoin,RVN,$0.01585,+3.62%,$8.78 M
146,Ankr,ANKR,$0.02044,+5.23%,$8.74 M
147,Osmosis,OSMO,$0.4149,+2.89%,$5.88 M
148,Decred,DCR,$13.04,+3.41%,"$807,319"
149,LUKSO,LYX,$7.08,+6.17%,"$285,189"
150,CoinMetro Token,XCM,$0.6499,-0.24%,$228
151,Holo,HOT,$0.001118,+3.91%,$7.48 M
152,Olympus v2,OHM,$10.77,+0.95%,"$267,508"
153,aelf,ELF,$0.307,+1.96%,$17.69 M
154,Blur,BLUR,$0.2174,+3.98%,$27.62 M
155,Balancer,BAL,$3.63,+5.23%,$7.37 M
156,Green Metaverse Token,GMT,$0.171,+4.55%,$14.75 M
157,Ocean Protocol,OCEAN,$0.3054,+3.54%,$12.85 M
158,Livepeer,LPT,$6.46,+14.00%,$89.97 M
159,yearn.finance,YFI,"$5,665.13",+2.97%,$29.09 M
160,JUST,JST,$0.0209,+2.84%,$33.92 M
161,Worldcoin,WLD,$1.41,-1.29%,$59.58 M
162,Waves,WAVES,$1.58,+3.80%,$39.28 M
163,Floki,FLOKI,$0.00001874,+4.10%,$10.4 M
164,Audius,AUDIO,$0.1588,+4.11%,$3.99 M
165,Golem,GLM,$0.1755,+2.12%,$2.48 M
166,WEMIX,WEMIX,$0.5532,+0.04%,$2.22 M
167,Threshold,T,$0.01935,+4.76%,$4.36 M
168,Kusama,KSM,$20.11,+5.95%,$11.17 M
169,JasmyCoin,JASMY,$0.003442,+3.56%,$16.67 M
170,Fetch.ai,FET,$0.2052,+7.17%,$23.17 M
171,Baby Doge Coin,BabyDoge,$0.000000001123,+2.34%,$1.78 M
172,Aragon,ANT,$4.20,-1.84%,$20.25 M
173,ICON,ICX,$0.1726,+5.50%,$2.3 M
174,tomiNet,TOMI,$2.47,+7.58%,$20.56 M
175,Wrapped Beacon ETH,WBETH,"$1,710.09",+3.11%,"$699,178"
176,Siacoin,SC,$0.002894,+3.42%,$2 M
177,LINK,LN,$22.50,+1.88%,"$133,798"
178,Luna,LUNA,$0.4378,+4.65%,$17.24 M
179,Illuvium,ILV,$44.04,+3.30%,$5.29 M
180,SXP,SXP,$0.2693,+6.63%,$9.32 M
181,ETHPoW,ETHW,$1.39,+0.71%,$3.81 M
182,0x,ZRX,$0.1785,+4.42%,$9.11 M
183,Ronin,RON,$0.588,+1.82%,$1.26 M
184,ssv.network,SSV,$14.48,+4.95%,$5.57 M
185,Hive,HIVE,$0.2914,+1.86%,$1.63 M
186,Ontology,ONT,$0.1639,+5.39%,$7.15 M
187,Harmony,ONE,$0.01055,+12.54%,$19.2 M
188,Pendle,PENDLE,$0.6176,+18.34%,$27.76 M
189,Moonbeam,GLMR,$0.1985,+3.35%,$1.9 M
190,Symbol,XYM,$0.02408,+1.13%,"$322,260"
191,TomoChain,TOMO,$1.44,-7.66%,$23.63 M
192,IOST,IOST,$0.007421,+4.21%,$3.85 M
193,Tribe,TRIBE,$0.2686,-0.34%,"$85,268"
194,Band Protocol,BAND,$1.03,+5.00%,$7.46 M
195,SushiSwap,SUSHI,$0.596,+4.40%,$16.48 M
196,WAX,WAXP,$0.04146,+3.45%,$1.63 M
197,Merit Circle,MC,$0.3267,-0.70%,$6.31 M
198,Gains Farm,GFARM2,"$3,855.18",+2.27%,$561
199,IoTeX,IOTX,$0.01448,+4.15%,$3.07 M
200,SwissBorg,CHSB,$0.1372,+2.57%,$18.25 M
201,UniBot,UNIBOT,$136.53,-0.55%,$16.62 M
202,MAGIC,MAGIC,$0.6045,+3.06%,$20.24 M
203,HarryPotterObamaSonic10Inu,BITCOIN,$0.1387,-5.29%,$19.8 M
204,STASIS EURO,EURS,$1.09,+0.44%,$3.98 M
205,Biconomy,BICO,$0.2141,+4.35%,$1.7 M
206,Axelar,AXL,$0.3592,+1.82%,$27.8 M
207,Polymath,POLY,$0.1419,-10.08%,"$835,767"
208,LUKSO,LYXe,$6.98,+6.28%,"$179,439"
209,TerraClassicUSD,USTC,$0.01314,+4.15%,$6.27 M
210,Krypton DAO,KRD,$1.21,+0.86%,"$1,488"
211,BORA,BORA,$0.1216,+1.33%,"$962,908"
212,Nervos Network,CKB,$0.002806,+7.12%,$1.83 M
213,Gains Network,GNS,$3.87,+2.98%,$3.73 M
214,Ribbon Finance,RBN,$0.2126,-2.64%,"$683,256"
215,DigiByte,DGB,$0.006876,+4.63%,$1.96 M
216,Stargate Finance,STG,$0.5526,+2.85%,$11.61 M
217,Bitkub Coin,KUB,$1.26,-8.49%,"$883,460"
218,Core DAO,CORE,$0.7133,-1.25%,$6.31 M
219,Kadena,KDA,$0.459,+4.64%,$1.51 M
220,MobileCoin,MOB,$0.5668,+2.02%,"$900,759"
221,DAO Maker,DAO,$0.7603,-0.10%,"$870,061"
222,TriumphX,TRIX,$0.02096,+304.20%,$598
223,SKALE Network,SKL,$0.02259,+7.37%,$6.06 M
224,Horizen,ZEN,$7.41,+4.39%,$5.09 M
225,USDX [Kava],USDX,$0.9387,+0.74%,"$950,967"
226,UMA,UMA,$1.41,+3.38%,$5.19 M
227,Flux,FLUX,$0.319,+5.21%,$5.05 M
228,Galxe,GAL,$1.15,+3.37%,$9.14 M
229,Reserve Rights,RSR,$0.001894,+8.20%,$4.23 M
230,Everscale,EVER,$0.05293,+0.07%,$2.02 M
231,Kyber Network Crystal v2,KNC,$0.5562,+5.09%,$13.37 M
232,Alchemy Pay,ACH,$0.01419,+3.54%,$7.3 M
233,Lido for Solana,stSOL,$24.23,+4.50%,$2.46 M
234,Storj,STORJ,$0.2419,+5.58%,$5.83 M
235,Lisk,LSK,$0.7135,+2.01%,"$493,498"
236,Celer Network,CELR,$0.01196,+4.95%,$3.07 M
237,Cartesi,CTSI,$0.1236,+6.76%,$3.52 M
238,Hxro,HXRO,$0.1487,-0.74%,$564
239,PlayDapp,PLA,$0.1602,+0.87%,$4.87 M
240,Vulcan Forged PYR,PYR,$3.27,+3.80%,$3.34 M
241,Keep Network,KEEP,$0.09303,+2.40%,"$88,211"
242,AGORIC,BLD,$0.1469,+4.80%,"$157,535"
243,Metars Genesis,MRS,$1.40,+2.40%,"$53,356"
244,MiL.k,MLK,$0.2883,+6.62%,$21.85 M
245,Pundi X (New),PUNDIX,$0.3381,+2.65%,$1.56 M
246,Centrifuge,CFG,$0.2407,-1.06%,"$307,819"
247,Echelon Prime,PRIME,$3.51,+9.53%,$3.43 M
248,OriginTrail,TRAC,$0.2187,+1.11%,"$658,898"
249,Amp,AMP,$0.002021,+1.92%,$4.41 M
250,Status,SNT,$0.02245,+2.69%,$2.08 M
251,Standard Tokenization Protocol,STPT,$0.04394,+2.50%,$1.56 M
252,Open Campus,EDU,$0.4473,+5.57%,$8.72 M
253,VVS Finance,VVS,$0.000002229,-0.88%,"$296,827"
254,Kujira,KUJI,$0.7097,-1.88%,"$215,862"
255,API3,API3,$0.9504,+2.70%,$5.58 M
256,Ordinals,ORDI,$3.89,+3.79%,$20.22 M
257,JOE,JOE,$0.2425,+9.16%,$7.75 M
258,Coin98,C98,$0.1418,+5.38%,$9.5 M
259,DeXe,DEXE,$2.19,+1.40%,$1.58 M
260,Polymesh,POLYX,$0.1114,+3.22%,$1.66 M
261,Bitgert,BRISE,$0.0000002015,+2.85%,$3.89 M
262,NuCypher,NU,$0.06146,+4.28%,$567
263,BiLira,TRYB,$0.03627,-0.27%,"$29,342"
264,Decentralized Social,DESO,$8.96,+15.60%,$2.98 M
265,dKargo,DKA,$0.02586,+10.13%,"$397,645"
266,SafeMoon V2,SFM,$0.0001397,-0.59%,$1.13 M
267,Powerledger,POWR,$0.1517,-0.33%,$11.32 M
268,QANplatform,QANX,$0.03449,+3.96%,"$396,606"
269,Liquity,LQTY,$0.8265,+4.72%,$15.01 M
270,Ontology Gas,ONG,$0.2183,+3.24%,$1.42 M
271,Nano,XNO,$0.5779,+3.69%,$1.21 M
272,iExec RLC,RLC,$1.06,+5.44%,$7.97 M
273,inSure DeFi,SURE,$0.002806,+1.87%,"$121,665"
274,Metal,MTL,$1.12,+3.43%,$8.23 M
275,Prometeus,PROM,$4.08,+2.95%,$1.55 M
276,Telcoin,TEL,$0.001091,+0.83%,"$253,906"
277,Statter Network,STT,$1.47,-0.01%,$2.68 M
278,NYM,NYM,$0.1385,-1.53%,"$649,108"
279,SPACE ID,ID,$0.2057,+7.67%,$12.56 M
280,BENQI Liquid Staked AVAX,SAVAX,$11.46,+4.72%,"$123,127"
281,Decimal,DEL,$0.01518,+3.43%,"$82,006"
282,Hashflow,HFT,$0.346,+2.69%,$12.31 M
283,Radiant Capital,RDNT,$0.2445,+6.18%,$18.01 M
284,Civic,CVC,$0.07219,+3.83%,$3.2 M
285,Dogelon Mars,ELON,$0.0000001301,+1.68%,$20.03 M
286,Astrafer,ASTRAFER,$0.4564,+2.83%,"$7,691"
287,Numeraire,NMR,$11.39,+1.89%,$3.46 M
288,Steem,STEEM,$0.1616,+1.39%,$1.29 M
289,RSK Infrastructure Framework,RIF,$0.07337,-1.77%,$5.58 M
290,Energy Web Token,EWT,$2.35,+2.16%,$1.16 M
291,Wrapped NXM,WNXM,$29.85,+3.02%,$6.62 M
292,MVL,MVL,$0.002944,+8.04%,"$756,299"
293,OMG Network,OMG,$0.4909,+5.13%,$9.65 M
294,Orbs,ORBS,$0.02162,+2.18%,"$714,171"
295,MediBloc,MED,$0.009826,+1.98%,"$646,758"
296,Alpha Venture DAO,ALPHA,$0.08453,+3.60%,$2.46 M
297,Radicle,RAD,$1.35,+3.96%,$3.12 M
298,Request,REQ,$0.06744,+2.25%,"$801,457"
299,Wilder World,WILD,$0.268,+4.97%,"$357,022"
300,Everipedia,IQ,$0.004372,+1.70%,$1.2 M
301,Marlin,POND,$0.008292,+4.01%,$2.1 M
302,Arkham,ARKM,$0.4403,+11.12%,$29.76 M
303,Dent,DENT,$0.0006648,+4.29%,$2.03 M
304,ABBC Coin,ABBC,$0.04692,+24.84%,$9.07 M
305,Ergo,ERG,$1.12,-0.07%,"$224,680"
306,Syscoin,SYS,$0.08788,+2.83%,$1.07 M
307,Synapse,SYN,$0.4676,+8.38%,$6.05 M
308,Yield Guild Games,YGG,$0.2514,+15.92%,$58.4 M
309,Songbird,SGB,$0.005556,+0.67%,"$234,698"
310,NKN,NKN,$0.08585,+4.17%,$2.32 M
311,Humanscape,HUM,$0.07023,+0.06%,N/A
312,Bancor,BNT,$0.4362,+2.67%,$9.81 M
313,VeThor Token,VTHO,$0.0009535,+5.67%,"$866,001"
314,Chromia,CHR,$0.09151,+4.00%,$4.28 M
315,Stratis,STRAX,$0.4124,+3.61%,"$681,966"
316,Ardor,ARDR,$0.06341,+3.32%,"$355,633"
317,XCAD Network,XCAD,$1.44,+0.71%,$1.8 M
318,Orchid,OXT,$0.06499,+3.12%,$11.31 M
319,Access Protocol,ACS,$0.002062,+0.66%,"$979,562"
320,Linear,LINA,$0.01113,+6.53%,$18.64 M
321,WINkLink,WIN,$0.00006375,+2.80%,$29.73 M
322,Smooth Love Potion,SLP,$0.001472,+3.66%,$3.91 M
323,Bad Idea AI,BAD,$0.0000001143,-9.58%,$5.15 M
324,Secret,SCRT,$0.2807,+2.38%,$1.48 M
325,Verge,XVG,$0.003579,+13.04%,$7.58 M
326,Venus,XVS,$3.78,+4.01%,$1.93 M
327,XIDO FINANCE,XIDO,$2.01,-2.41%,"$8,677"
328,Alethea Artificial Liquid Intelligence Token,ALI,$0.01626,+3.62%,$4.87 M
329,Hifi Finance,MFT,$0.005858,+1.72%,$0.8435
330,Bifrost (BFC),BFC,$0.04128,-0.81%,"$704,746"
331,Gitcoin,GTC,$0.8962,+6.75%,$3.5 M
332,Clash of Lilliput,COL,$0.6924,+2.43%,"$49,179"
333,Vai,VAI,$0.9835,+0.06%,"$5,810"
334,Stride,STRD,$0.6427,-0.52%,"$39,692"
335,Stader MaticX,MATICX,$0.6085,+6.10%,"$218,857"
336,Beta Finance,BETA,$0.07887,+3.19%,$2.89 M
337,ankrETH,aETHc,"$1,898.86",+3.02%,"$69,573"
338,Maverick Protocol,MAV,$0.2223,+5.52%,$3.63 M
339,Ultra,UOS,$0.1619,-0.08%,"$705,074"
340,Bluzelle,BLZ,$0.1324,+7.06%,$80.92 M
341,cVault.finance,CORE,"$5,478.23",-0.23%,"$6,178"
342,SmarDex,SDEX,$0.008608,+2.54%,$1.48 M
343,LooksRare,LOOKS,$0.05989,+14.80%,$3.92 M
344,SX Network,SX,$0.1112,-4.49%,"$247,626"
345,MetisDAO,METIS,$12.13,-0.29%,$1.02 M
346,BinaryX,BNX,$0.2023,+7.53%,$3.45 M
347,MOBOX,MBOX,$0.258,+4.56%,$3.11 M
348,Euro Coin,EUROC,$1.09,+0.24%,$1.41 M
349,Function X,FX,$0.1307,+1.87%,"$100,113"
350,StormX,STMX,$0.005349,+2.34%,$24.85 M
351,Neutron,NTRN,$0.3495,+7.28%,$1.63 M
352,Mdex,MDX,$0.05502,-1.36%,$6.69 M
353,Akropolis,AKRO,$0.01199,+1.31%,$13.92 M
354,UXD Protocol,UXP,$0.01313,-0.07%,"$12,568"
355,Phala Network,PHA,$0.08677,+2.36%,$4 M
356,Sun (New),SUN,$0.005422,+2.90%,$26.51 M
357,ARPA Chain,ARPA,$0.04119,+3.87%,$13.59 M
358,Dynex,DNX,$0.8879,+3.79%,$1.42 M
359,VitaDAO,VITA,$2.17,+18.78%,"$396,970"
360,Morpheus.Network,MNW,$1.09,+0.73%,"$88,364"
361,QuarkChain,QKC,$0.007832,+0.43%,"$868,731"
362,Pocket Network,POKT,$0.0329,-0.12%,"$145,111"
363,ConstitutionDAO,PEOPLE,$0.009886,+4.06%,$5.54 M
364,Magic Internet Money,MIM,$1.01,+0.71%,"$502,727"
365,COTI,COTI,$0.04087,+6.94%,$2.5 M
366,BOB,BOB,$1.00,+0.24%,$3.74 M
367,Loom Network,LOOM,$0.04093,+3.02%,$1.63 M
368,Ren,REN,$0.04939,+5.18%,$6.84 M
369,Covalent,CQT,$0.0816,-1.27%,"$328,774"
370,Concordium,CCD,$0.007216,+0.05%,"$348,677"
371,Inverse Finance DOLA Stablecoin,DOLA,$0.9957,+0.17%,"$969,591"
372,Airtor Protocol,ATOR,$0.667,+1.30%,"$807,662"
373,CANTO,CANTO,$0.09181,+0.87%,"$316,334"
374,Braintrust,BTRST,$0.3205,+4.89%,"$472,259"
375,Pundi X (Old),NPXS,$0.0002046,+1.72%,$2
376,MARBLEX,MBX,$0.7861,+1.32%,$1.68 M
377,XPLA,XPLA,$0.2027,-2.20%,$7.11 M
378,Shardus,ULT,$0.1086,+1.39%,$18
379,Oasys,OAS,$0.04857,+2.53%,"$546,725"
380,Locus Chain,LOCUS,$0.02263,-1.15%,"$14,682"
381,FUN Token,FUN,$0.004267,+4.79%,$1.17 M
382,Highstreet,HIGH,$1.15,+5.31%,$4.85 M
383,World Mobile Token,WMT,$0.1081,+3.86%,"$512,619"
384,smARTOFGIVING,AOG,$0.6259,+0.31%,"$23,132"
385,Ecoin official,ECOIN,$0.00009998,-0.01%,$2
386,Tokamak Network,TON,$1.29,+2.35%,"$619,627"
387,MovieBloc,MBL,$0.00278,+2.72%,$1.67 M
388,DODO,DODO,$0.1001,+7.08%,$9.05 M
389,XSGD,XSGD,$0.7359,+0.12%,"$484,802"
390,Sweat Economy,SWEAT,$0.006871,+5.02%,"$853,478"
391,CyberConnect,CYBER,$4.18,-5.99%,$88.13 M
392,Bytom,BTM,$0.02543,+2.87%,"$932,046"
393,DEXTools,DEXT,$0.5016,+3.83%,"$356,027"
394,PLANET,PLANET,$0.00005337,+19.14%,$16.35 M
395,Origin Protocol,OGN,$0.08098,+6.87%,$8.67 M
396,Doge Killer,LEASH,$420.64,+0.23%,$1.29 M
397,CertiK,CTK,$0.4813,+8.30%,$3.44 M
398,AllianceBlock Nexera,NXRA,$0.06257,+7.20%,"$266,348"
399,PegNet,PEG,$0.01981,+9.58%,"$48,167"
400,Verasity,VRA,$0.004213,+1.80%,$5.31 M
401,Cobak Token,CBK,$0.5601,+2.34%,$1 M
402,Zebec Protocol,ZBC,$0.01332,-6.67%,$36.15 M
403,XYO,XYO,$0.00323,+0.91%,"$268,618"
404,Ark,ARK,$0.2442,+3.34%,$1.58 M
405,Dusk Network,DUSK,$0.103,+5.02%,$5.2 M
406,Spell Token,SPELL,$0.0004033,+3.42%,$4.49 M
407,Aura Finance,AURA,$1.10,-0.57%,"$246,484"
408,Gods Unchained,GODS,$0.1786,+1.23%,"$672,567"
409,Refereum,RFR,$0.008485,+1.46%,$3.1 M
410,CAW(A Hunters Dream),CAW,$0.00000006695,+4.44%,"$879,528"
411,Dero,DERO,$3.13,-2.18%,"$8,123"
412,Constellation,DAG,$0.03343,-1.62%,"$263,859"
413,Raydium,RAY,$0.1873,+1.49%,$2.58 M
414,Celo Dollar,CUSD,$0.9944,-0.15%,"$108,043"
415,Creditcoin,CTC,$0.1643,+0.66%,$22.9 M
416,SOMESING,SSX,$0.01467,+3.42%,"$152,576"
417,AVINOC,AVINOC,$0.1248,+21.40%,"$100,106"
418,Rakon,RKN,$0.1701,+2.46%,"$29,574"
419,Euler Finance,EUL,$2.23,-2.19%,"$294,473"
420,e-Radix,EXRD,$0.05588,+4.85%,"$46,301"
421,Pirate Chain,ARRR,$0.209,-2.28%,"$70,312"
422,RSS3,RSS3,$0.09403,+1.81%,$1.64 M
423,Aavegotchi,GHST,$0.7705,+0.46%,$1.27 M
424,Aergo,AERGO,$0.09259,+2.38%,$1.25 M
425,MyNeighborAlice,ALICE,$0.7854,+6.04%,$11.92 M
426,Badger DAO,BADGER,$2.06,+3.40%,$2.37 M
427,WazirX,WRX,$0.1045,+3.30%,$1.2 M
428,Tether EURt,EURT,$1.09,+0.25%,$1.3 M
429,Tenset,10SET,$0.2339,+7.01%,"$22,369"
430,Hooked Protocol,HOOK,$0.7857,+6.50%,$5.7 M
431,Carry,CRE,$0.003994,+5.00%,$1.42 M
432,Strike,STRK,$10.22,+2.64%,"$855,682"
433,HAY,HAY,$1.00,+0.32%,"$740,659"
434,Wirex Token,WXT,$0.003867,+0.24%,"$130,890"
435,Dawn Protocol,DAWN,$0.5185,+1.35%,"$846,026"
436,Netrum,NTR,$18.00,+22.51%,"$19,692"
437,Ampleforth Governance Token,FORTH,$2.54,+3.10%,$6.74 M
438,ALEX Lab,ALEX,$0.06364,+0.04%,"$165,379"
439,Enzyme,MLN,$16.11,+0.69%,"$504,807"
440,TrueFi,TRU,$0.03518,+13.55%,$14.11 M
441,FirmaChain,"FCT,FCT2",$0.05226,+1.37%,$4 M
442,Groestlcoin,GRS,$0.4566,+0.87%,$28.74 M
443,Rally,RLY,$0.007143,-3.20%,$1.05 M
444,Acala Token,ACA,$0.04714,+4.20%,$2 M
445,Sologenic,SOLO,$0.09382,+0.49%,"$415,300"
